,wage
0,0.0031870131820069063
1,0.28210962495580433
2,0.39167838213860917
3,1.0
4,0.0027080076124761806
5,0.0075202975818458905
6,0.004844654219957259
7,0.5972139123221379
8,0.003554261454334636
9,0.019717725001613656
10,0.8938888888888887
11,0.5860963240005316
12,0.0038027168601005054
13,0.2314834476563488
14,0.47622726429625634
15,0.8280403368218415
16,0.0025576822020345847
17,0.3119946231255131
18,0.014277354011570499
19,0.7885357555907416
20,0.6473202432588588
21,0.012169061761447239
22,0.00750570677606568
23,0.02204142966674342
24,0.13396974304539688
25,0.9888888888888889
26,0.0025513028889480854
27,0.020038513869462468
28,0.2278526976579291
29,0.06980501840429008
30,1.0
31,0.06813424573386727
32,0.024101184885579104
33,0.06268718416956223
34,0.005670076664952085
35,0.32593501866574165
36,0.5262812323995644
37,0.03091752734246676
38,0.0025513028889480854
39,0.0025513028889480854
40,0.7372835355111033
41,0.4822278025315555
42,0.2404467945070607
43,0.0240992538689948
44,0.0025191019551210046
45,0.3898315023859494
46,0.04172438848113572
47,0.45049446650973773
48,0.012113155982031446
49,0.12268598303653852
50,0.0027465878593897607
51,0.02380782587229791
52,0.0025898831358616655
53,0.9216666666666666
54,0.059515898122286456
55,0.0029900378107074956
56,0.3347276344852332
57,0.716153402471567
58,0.973170731707317
59,0.1699314380463647
60,0.2815023891650119
61,0.03403111962120028
62,0.03380401582810744
63,0.009345151951020267
64,0.02135291725896344
65,0.06501229743757578
66,1.0
67,0.0027465878593897607
68,0.02853767566773733
69,0.3847538197728824
70,1.0
71,0.5140776776789824
72,0.18154510445538216
73,0.0028333330871794012
74,0.4941804891609538
75,0.0025513028889480854
76,0.3674899200509174
77,0.07410835410712768
78,0.3681398685890425
79,0.0029900378107074956
80,0.4178835939188937
81,0.006587244368010715
82,0.005689582485159602
83,1.0
84,0.2943955990051966
85,0.028975213466389094
86,0.0025898831358616655
87,0.4211946818081778
88,0.003554261454334636
89,0.982962962962963
90,0.045961761889737544
91,0.007673687515625793
92,0.9583740333740334
93,0.19664843762826523
94,0.1561233685189202
95,0.0025513028889480854
96,0.010466065115098351
97,0.18191003066997752
98,0.3744024948516688
99,0.0025513028889480854
100,0.325740406790406
101,0.008853076289964127
102,0.0025513028889480854
103,0.019528108247975278
104,0.01984697751588339
105,0.01743077560443245
106,0.3134351000005883
107,0.004844654219957259
108,0.0025513028889480854
109,0.0025898831358616655
110,0.0072345400797684395
111,0.2108110591275329
112,0.38853916949823375
113,0.0027080076124761806
114,0.3539522207291775
115,0.004251328502926134
116,0.37483455003071775
117,0.0025898831358616655
118,0.02102796591452082
119,0.11655088225700715
120,0.2536508014633604
121,0.0025513028889480854
122,0.008703732903044178
123,0.02333776985377831
124,0.018788851046785317
125,0.02477934195527792
126,0.8051245057738405
127,0.0060139019464176685
128,0.19536255813658795
129,0.9888888888888889
130,0.4759808897162339
131,0.002856934000007757
132,0.0025513028889480854
133,0.8051245057738405
134,0.41605712875613915
135,0.016245520228575554
136,0.38575007088789753
137,0.05978216189795031
138,0.2284004446588313
139,0.012077802181562791
140,0.775327887694301
141,0.0025513028889480854
142,1.0
143,0.9850694444444444
144,0.04535161347190995
145,0.023169218087725638
146,0.041087638369790805
147,0.21327089380568837
148,1.0
149,0.009859822780904321
150,0.0039289435398575144
151,0.036554801743276855
152,0.019519953396101856
153,0.0025513028889480854
154,0.9916666666666667
155,0.00404104535986188
156,0.006747873149100896
157,0.004929887980589776
158,0.02333776985377831
159,0.07871403041471936
160,0.1274310924447457
161,0.1871448420676871
162,0.091243744336897
163,0.026354351385078873
164,0.8339068762309838
165,0.27414999043346217
166,0.45813146971527136
167,0.38196250865634723
168,0.0027080076124761806
169,0.05367314532290967
170,0.9860884773662552
171,0.14694828434383597
172,0.011932256459153773
173,0.36465750619880705
174,0.15525976314751616
175,0.4409410166837068
176,0.13649039254925802
177,0.32647498717188367
178,0.25856051996626683
179,0.7774253813287099
180,0.18019463730518523
181,1.0
182,0.07713724093648264
183,0.33953849481017223
184,0.02102796591452082
185,0.19556609858485477
186,0.07024052607624547
187,0.01423309657412097
188,0.08050372628814012
189,0.010240323691020457
190,0.9586248717231084
191,0.43995044009412704
192,0.02481166321723516
193,0.0663520626943588
194,0.03477708162542341
195,0.00997853608494685
196,0.12025871363146406
197,0.7949863117812564
198,0.0025513028889480854
199,0.08316387660117625
200,0.512091979533302
201,0.5518589038429327
202,0.26310939268380074
203,0.10776160763769596
204,0.5348251748109599
205,0.6351064320064114
206,0.054879316886064136
207,0.1346620936804516
208,0.6798528437414415
209,0.34543081322029084
210,0.0027080076124761806
211,0.01745471996699382
212,0.06000268384271649
213,0.596371325613782
214,0.0044225417526439475
215,0.37991689362339964
216,0.005254976637588575
217,0.0024863353727062063
218,0.01490698575398426
219,0.020989445879484266
220,0.5922983983054343
221,0.003343717905535001
222,0.024245106418072117
223,0.3710219115013092
224,0.8126677026677026
225,0.4521900210902048
226,1.0
227,0.4976698715040825
228,0.0031870131820069063
229,0.38837558117949234
230,0.0027080076124761806
231,0.7986874567387399
232,0.4395022403669844
233,0.2560716498244482
234,0.06131147991009762
235,0.06539935883256101
236,0.4684755083897148
237,0.016676768857137612
238,0.005605878985372662
239,0.1388640943180774
240,0.0054356372995480505
241,0.33714433714433717
242,0.0025898831358616655
243,0.24196862816319306
244,0.0027080076124761806
245,0.3687806637601712
246,0.1846612479437188
247,0.08667237016174015
248,0.42313521253666747
249,0.3316957025090549
250,0.0027080076124761806
251,0.09247480566605717
252,0.1444114954132692
253,0.13301309043719797
254,0.18284019864714615
255,0.0025513028889480854
256,0.09468493289816357
257,0.01777116628430626
258,0.005645599449086309
259,0.1506670846078505
260,0.6399473128946105
261,0.02987116919372241
262,0.008738065796829479
263,0.014389096679797205
264,0.03414625609754287
265,0.25855397601962676
266,0.33872404770699854
267,0.02175498859607856
268,0.0027080076124761806
269,0.09203341466918023
270,0.22045574683807598
271,0.2219059829340169
272,0.4859944528605867
273,0.19428770344631674
274,0.2269934455404262
275,0.0027465878593897607
276,0.07766099006160355
277,0.0025513028889480854
278,1.0
279,0.052980509238531585
280,0.16736116415722063
281,0.1518610655018052
282,0.0025513028889480854
283,0.008716492646448993
284,0.6358907729211979
285,0.10613457687387756
286,0.0025513028889480854
287,0.48571515005417537
288,0.5188658461511768
289,0.006939843821411248
290,0.5188167933521941
291,0.09226178492416315
292,0.11709778331493839
293,0.01657147818891776
294,0.039821508178886224
295,0.0031870131820069063
296,0.019062900507538925
297,0.0025513028889480854
298,1.0
299,0.23107319138040722
300,0.41366000903392114
301,0.004844654219957259
302,0.04235831643084142
303,0.005670076664952085
304,0.0027080076124761806
305,0.07499980671297711
306,0.20751176670476806
307,0.007084459088633513
308,0.7874743221059798
309,0.37079544025426
310,0.48709687290928966
311,0.0028333330871794012
312,0.22484181264459402
313,0.312480502076217
314,0.26870056223442146
315,0.04893732864389554
316,0.0028333330871794012
317,0.0025513028889480854
318,0.6472341804810245
319,0.31694876844912495
320,0.017319096434608827
321,0.7771428528104896
322,0.2799184525109816
323,0.09916731933333252
324,0.004251328502926134
325,0.7138815169131674
326,0.07348911107867867
327,0.0025898831358616655
328,0.3123441573162738
329,0.9952380952380953
330,0.0025513028889480854
331,0.007096617381196353
332,0.38082961084281214
333,0.02127613525224733
334,1.0
335,0.0025513028889480854
336,0.028355729591141788
337,0.018227841435816416
338,0.35728855366228324
339,0.4789645002609698
340,0.07106325515639744
341,0.04722673334726416
342,0.02835431055155101
343,0.7648271181633606
344,0.8299158249158249
345,0.00914049160030675
346,1.0
347,0.8088906029279783
348,0.004251328502926134
349,0.03512686811415438
350,0.02102796591452082
351,0.0025513028889480854
352,0.015333122395529709
353,0.22095586995296512
354,0.34043245158056357
355,0.7157430298219737
356,0.11103628879567058
357,1.0
